苏美尔王表(SKL),王朝 (Dynasty),在位时间(Reign),在位年数(Regnal years),"甲骨文，周祭 （Oracle Bone Scripts ,  10-day Sacrifices)",都城（Captial),史记 (Shiji),夏商周断代工程 (Xia–Shang–Zhou Chronology Project),注释(Notes)
𒋻𒁕（Kuda）昭明,,c. 2200  BC,6,,,昭明（先公第二世）,约 1600BC 之前,从分（刀） 从力(口）； 昌若（史记先公第四世）
𒅤𒊭（Puzur-ili) 相土,,c. 2135 - 2130 BC,5,,,相土（先公第三世）,约 1600BC 之前,甲骨文从O从一𒊭； 曹圉 （史记先公第五世）
𒌨𒀭𒌓（Ur-Utu） 王亥,,c. 2130 - 2124 BC,6,,,振（先公第七世）,约 1600BC 之前,𒌨 亥 = 振  
古题王朝（Gutian Dynasty）,,,,,,,,有易
𒀭𒌓𒃶𒅅（Utu-hengal）王恒,乌鲁克 5（Uruk V),c. 2055 – c. 2048 BC,,,,冥（史记先公第六世）,约 1600BC 之前,冥（史记先公第六世）
𒌨𒀭𒇉（Ur-Nammu) 上甲,乌尔 3    (Ur III),c. 2112 – c. 2094 BC,18,上甲,殷（Ur),微 （先公第八世）,约 1600BC 之前,上甲微 = 昏微
𒀭𒂄𒄀 （Shulgi）报乙,,c. 2094 – c. 2046 BC,48,报乙,殷（Ur),报乙（先公第十世）,约 1600BC 之前,第一次称商王
𒀭𒀫𒀭𒂗𒍪（Amar-Sin）主壬,,c. 2046 – c. 2037 BC,9,示壬,殷（Ur),主壬（先公第十二世）,约 1600BC 之前,𒀫 壬
𒀭𒋗𒀭𒂗𒍪（Shu-Sin）主癸,,c. 2037 – c. 2028 BC,9,示癸,殷（Ur),主癸（先公第十三世）,约 1600BC ,𒋗𒀭  从手从天， 癸。 
,九世之乱 大迁徙 Big migration,,,卜丙,雍（Tepe Hissar),,前1649年,
,,,,大庚,,,前1614年,
,,,,大戊,,大戊（建国后第六世）,前1580年,
,,,,雍己,,雍己（建国后第六世）,前1592年,
,,,,中丁,嚣/隞（Gonur Tepe),中丁（建国后第七世）,前1505年,中丁、三且丁（三祖丁）
,,c 1700 - c 1600 BC,,卜壬,,卜壬（建国后第七世）,前1494年,
,,,,戋甲,相/耿 （Mongolia),戋甲（建国后第七世）,前1479年,河亶甲
,商王朝    （Shang dynasty),,,祖乙,庇 / 石峁 （ Shi mao),祖乙（建国后第八世）,前1470年,
,,,,祖辛,,祖辛（建国后第九世）,前1420年,
,,,,羌甲,,沃甲（建国后第九世）,前1404年,
,,,,祖丁,,祖丁（建国后第十世）,前1379年,
,,c 1350 BC,,南庚,奄 / 北京市房山区琉璃河（liulihe),南庚（建国后第十世）,前1347年,
,,,,阳甲,,阳甲（建国后第十一世）,前1318年,
,,c 1300 BC,,盘庚,殷 / 安阳 小屯 （An yang),盘庚（建国后第十一世）,前1301年,
,,,,小辛,,小辛（建国后第十一世）,前1273年,
,,,,小乙,,小乙（建国后第十一世）,前1270年,
,,,,武丁,,武丁（建国后第十二世）,前1260年,
,,,,祖己,,,,
,,,,祖庚,,祖庚（建国后第十三世）,前1201年,
,,,,祖甲,,祖甲（建国后第十三世）,前1190年,
,,,,康丁,,康丁（建国后第十四世）,前1153年,
,,,,武乙,,武乙（建国后第十五世）,前1145年,
,,,,文武丁,,文武丁（建国后第十六世）,前1110年,
,,,,帝乙,,帝乙（建国后第十七世）,前1094年,
,,c1050,,帝辛,,帝辛（建国后第十七世）,前1075年,商纣王
,,,,,,,前1046年，武王克商,古本竹书， 前1027年
